股票代碼,行業類別
1603,電器電纜類
1605,電器電纜類
1608,電器電纜類
1609,電器電纜類
1611,電器電纜類
1612,電器電纜類
1613,電器電纜類
1614,電器電纜類
1615,電器電纜類
1616,電器電纜類
1617,電器電纜類
1618,電器電纜類
1802,玻璃陶瓷類
1806,玻璃陶瓷類
1809,玻璃陶瓷類
1810,玻璃陶瓷類
1902,造紙工業類
1903,造紙工業類
1904,造紙工業類
1905,造紙工業類
1906,造紙工業類
1907,造紙工業類
1909,造紙工業類
1532,鋼鐵工業類
2002,鋼鐵工業類
2006,鋼鐵工業類
2007,鋼鐵工業類
2008,鋼鐵工業類
2009,鋼鐵工業類
2010,鋼鐵工業類
2012,鋼鐵工業類
2013,鋼鐵工業類
2014,鋼鐵工業類
2015,鋼鐵工業類
2017,鋼鐵工業類
2020,鋼鐵工業類
2022,鋼鐵工業類
2023,鋼鐵工業類
2024,鋼鐵工業類
2025,鋼鐵工業類
2027,鋼鐵工業類
2028,鋼鐵工業類
2029,鋼鐵工業類
2030,鋼鐵工業類
2031,鋼鐵工業類
2032,鋼鐵工業類
2033,鋼鐵工業類
2034,鋼鐵工業類
2038,鋼鐵工業類
9958,鋼鐵工業類
2101,橡膠工業類
2102,橡膠工業類
2103,橡膠工業類
2104,橡膠工業類
2105,橡膠工業類
2106,橡膠工業類
2107,橡膠工業類
2108,橡膠工業類
2109,橡膠工業類
2201,汽車工業類
2204,汽車工業類
2206,汽車工業類
2207,汽車工業類
2227,汽車工業類
1436,建材營造類
1442,建材營造類
1808,建材營造類
2501,建材營造類
2504,建材營造類
2505,建材營造類
2506,建材營造類
2509,建材營造類
2511,建材營造類
2515,建材營造類
2516,建材營造類
2520,建材營造類
2524,建材營造類
2526,建材營造類
2527,建材營造類
2530,建材營造類
2534,建材營造類
2535,建材營造類
2536,建材營造類
2537,建材營造類
2538,建材營造類
2539,建材營造類
2542,建材營造類
2543,建材營造類
2545,建材營造類
2546,建材營造類
2547,建材營造類
2548,建材營造類
2841,建材營造類
5515,建材營造類
5522,建材營造類
5525,建材營造類
5531,建材營造類
5533,建材營造類
5534,建材營造類
2208,航運業類
2601,航運業類
2603,航運業類
2605,航運業類
2606,航運業類
2607,航運業類
2608,航運業類
2609,航運業類
2610,航運業類
2611,航運業類
2612,航運業類
2613,航運業類
2614,航運業類
2615,航運業類
2617,航運業類
2618,航運業類
5607,航運業類
5608,航運業類
2701,觀光事業類
2702,觀光事業類
2704,觀光事業類
2705,觀光事業類
2706,觀光事業類
2707,觀光事業類
8940,觀光事業類
2801,金融保險類
2809,金融保險類
2812,金融保險類
2816,金融保險類
2820,金融保險類
2823,金融保險類
2832,金融保險類
2833,金融保險類
2834,金融保險類
2836,金融保險類
2837,金融保險類
2838,金融保險類
2845,金融保險類
2847,金融保險類
2849,金融保險類
2850,金融保險類
2851,金融保險類
2852,金融保險類
2854,金融保險類
2855,金融保險類
2856,金融保險類
2880,金融保險類
2881,金融保險類
2882,金融保險類
2883,金融保險類
2884,金融保險類
2885,金融保險類
2886,金融保險類
2888,金融保險類
2889,金融保險類
2890,金融保險類
2891,金融保險類
2892,金融保險類
5854,金融保險類
6005,金融保險類
6012,金融保險類
2901,貿易百貨類
2903,貿易百貨類
2905,貿易百貨類
2906,貿易百貨類
2908,貿易百貨類
2910,貿易百貨類
2911,貿易百貨類
2912,貿易百貨類
2913,貿易百貨類
2915,貿易百貨類
1704,化學工業類
1708,化學工業類
1709,化學工業類
1710,化學工業類
1711,化學工業類
1712,化學工業類
1713,化學工業類
1714,化學工業類
1717,化學工業類
1718,化學工業類
1721,化學工業類
1722,化學工業類
1723,化學工業類
1724,化學工業類
1725,化學工業類
1726,化學工業類
1727,化學工業類
1730,化學工業類
1732,化學工業類
1735,化學工業類
1737,化學工業類
1773,化學工業類
4725,化學工業類
1701,生技醫療類
1707,生技醫療類
1716,生技醫療類
1720,生技醫療類
1729,生技醫療類
1731,生技醫療類
1733,生技醫療類
1734,生技醫療類
1736,生技醫療類
4104,生技醫療類
4106,生技醫療類
4108,生技醫療類
4119,生技醫療類
4133,生技醫療類
2616,油電燃氣類
6505,油電燃氣類
8926,油電燃氣類
9908,油電燃氣類
9918,油電燃氣類
9926,油電燃氣類
9931,油電燃氣類
9937,油電燃氣類
1437,半導體業類
2302,半導體業類
2303,半導體業類
2311,半導體業類
2325,半導體業類
2329,半導體業類
2330,半導體業類
2337,半導體業類
2338,半導體業類
2342,半導體業類
2344,半導體業類
2351,半導體業類
2363,半導體業類
2369,半導體業類
2379,半導體業類
2401,半導體業類
2408,半導體業類
2425,半導體業類
2434,半導體業類
2436,半導體業類
2441,半導體業類
2449,半導體業類
2451,半導體業類
2454,半導體業類
2458,半導體業類
2473,半導體業類
2481,半導體業類
3006,半導體業類
3014,半導體業類
3016,半導體業類
3034,半導體業類
3035,半導體業類
3041,半導體業類
3056,半導體業類
3063,半導體業類
3094,半導體業類
3189,半導體業類
3443,半導體業類
3474,半導體業類
3519,半導體業類
3532,半導體業類
3534,半導體業類
3545,半導體業類
3559,半導體業類
3579,半導體業類
3588,半導體業類
3614,半導體業類
5471,半導體業類
6145,半導體業類
6202,半導體業類
6239,半導體業類
6243,半導體業類
6257,半導體業類
6271,半導體業類
6286,半導體業類
8016,半導體業類
8081,半導體業類
8110,半導體業類
8131,半導體業類
8261,半導體業類
1604,電腦及周邊設備業類
2301,電腦及周邊設備業類
2305,電腦及周邊設備業類
2315,電腦及周邊設備業類
2324,電腦及周邊設備業類
2331,電腦及周邊設備業類
2352,電腦及周邊設備業類
2353,電腦及周邊設備業類
2356,電腦及周邊設備業類
2357,電腦及周邊設備業類
2358,電腦及周邊設備業類
2361,電腦及周邊設備業類
2362,電腦及周邊設備業類
2364,電腦及周邊設備業類
2365,電腦及周邊設備業類
2376,電腦及周邊設備業類
2377,電腦及周邊設備業類
2380,電腦及周邊設備業類
2382,電腦及周邊設備業類
2385,電腦及周邊設備業類
2387,電腦及周邊設備業類
2395,電腦及周邊設備業類
2397,電腦及周邊設備業類
2399,電腦及周邊設備業類
2405,電腦及周邊設備業類
2417,電腦及周邊設備業類
2424,電腦及周邊設備業類
2442,電腦及周邊設備業類
2463,電腦及周邊設備業類
2465,電腦及周邊設備業類
2474,電腦及周邊設備業類
3002,電腦及周邊設備業類
3005,電腦及周邊設備業類
3013,電腦及周邊設備業類
3017,電腦及周邊設備業類
3022,電腦及周邊設備業類
3046,電腦及周邊設備業類
3054,電腦及周邊設備業類
3057,電腦及周邊設備業類
3060,電腦及周邊設備業類
3231,電腦及周邊設備業類
3494,電腦及周邊設備業類
3515,電腦及周邊設備業類
6117,電腦及周邊設備業類
6128,電腦及周邊設備業類
6166,電腦及周邊設備業類
6172,電腦及周邊設備業類
6206,電腦及周邊設備業類
6235,電腦及周邊設備業類
6277,電腦及周邊設備業類
8008,電腦及周邊設備業類
9912,電腦及周邊設備業類
2323,光電業類
2340,光電業類
2349,光電業類
2374,光電業類
2384,光電業類
2393,光電業類
2406,光電業類
2409,光電業類
2426,光電業類
2443,光電業類
2448,光電業類
2466,光電業類
2475,光電業類
2486,光電業類
2489,光電業類
2499,光電業類
3008,光電業類
3009,光電業類
3019,光電業類
3024,光電業類
3031,光電業類
3038,光電業類
3049,光電業類
3050,光電業類
3059,光電業類
3061,光電業類
3080,光電業類
3383,光電業類
3406,光電業類
3481,光電業類
3504,光電業類
3514,光電業類
3535,光電業類
3536,光電業類
3557,光電業類
3561,光電業類
3573,光電業類
3576,光電業類
3593,光電業類
3622,光電業類
5305,光電業類
5484,光電業類
6116,光電業類
6120,光電業類
6131,光電業類
6164,光電業類
6168,光電業類
6176,光電業類
6209,光電業類
6225,光電業類
6226,光電業類
6255,光電業類
6289,光電業類
8072,光電業類
8105,光電業類
2314,通信網路業類
2321,通信網路業類
2332,通信網路業類
2345,通信網路業類
2391,通信網路業類
2402,通信網路業類
2419,通信網路業類
2439,通信網路業類
2444,通信網路業類
2450,通信網路業類
2455,通信網路業類
2485,通信網路業類
2498,通信網路業類
3025,通信網路業類
3027,通信網路業類
3045,通信網路業類
3047,通信網路業類
3062,通信網路業類
3311,通信網路業類
3380,通信網路業類
3419,通信網路業類
3596,通信網路業類
4904,通信網路業類
4906,通信網路業類
5388,通信網路業類
6136,通信網路業類
6142,通信網路業類
6152,通信網路業類
6216,通信網路業類
6283,通信網路業類
6285,通信網路業類
8078,通信網路業類
8101,通信網路業類
1471,電子零組件業類
1582,電子零組件業類
2059,電子零組件業類
2308,電子零組件業類
2313,電子零組件業類
2316,電子零組件業類
2327,電子零組件業類
2328,電子零組件業類
2355,電子零組件業類
2367,電子零組件業類
2368,電子零組件業類
2375,電子零組件業類
2383,電子零組件業類
2392,電子零組件業類
2413,電子零組件業類
2415,電子零組件業類
2420,電子零組件業類
2421,電子零組件業類
2428,電子零組件業類
2431,電子零組件業類
2437,電子零組件業類
2440,電子零組件業類
2452,電子零組件業類
2456,電子零組件業類
2457,電子零組件業類
2460,電子零組件業類
2462,電子零組件業類
2467,電子零組件業類
2472,電子零組件業類
2476,電子零組件業類
2478,電子零組件業類
2483,電子零組件業類
2484,電子零組件業類
2492,電子零組件業類
2493,電子零組件業類
3003,電子零組件業類
3011,電子零組件業類
3015,電子零組件業類
3023,電子零組件業類
3026,電子零組件業類
3032,電子零組件業類
3037,電子零組件業類
3042,電子零組件業類
3044,電子零組件業類
3058,電子零組件業類
3090,電子零組件業類
3229,電子零組件業類
3296,電子零組件業類
3308,電子零組件業類
3376,電子零組件業類
3501,電子零組件業類
3533,電子零組件業類
3605,電子零組件業類
3607,電子零組件業類
3653,電子零組件業類
5469,電子零組件業類
6108,電子零組件業類
6115,電子零組件業類
6133,電子零組件業類
6141,電子零組件業類
6153,電子零組件業類
6155,電子零組件業類
6165,電子零組件業類
6191,電子零組件業類
6205,電子零組件業類
6213,電子零組件業類
6224,電子零組件業類
6251,電子零組件業類
6269,電子零組件業類
6282,電子零組件業類
8039,電子零組件業類
8046,電子零組件業類
8103,電子零組件業類
8163,電子零組件業類
8213,電子零組件業類
8249,電子零組件業類
1435,電子通路業類
2347,電子通路業類
2359,電子通路業類
2403,電子通路業類
2414,電子通路業類
2430,電子通路業類
2459,電子通路業類
3010,電子通路業類
3028,電子通路業類
3033,電子通路業類
3036,電子通路業類
3040,電子通路業類
3048,電子通路業類
3055,電子通路業類
3209,電子通路業類
3315,電子通路業類
3702,電子通路業類
5434,電子通路業類
6119,電子通路業類
6189,電子通路業類
6281,電子通路業類
8070,電子通路業類
8112,電子通路業類
2427,資訊服務業類
2453,資訊服務業類
2468,資訊服務業類
2471,資訊服務業類
2480,資訊服務業類
3021,資訊服務業類
3029,資訊服務業類
3130,資訊服務業類
3356,資訊服務業類
5203,資訊服務業類
6112,資訊服務業類
2312,其他電子業類
2317,其他電子業類
2350,其他電子業類
2354,其他電子業類
2360,其他電子業類
2371,其他電子業類
2373,其他電子業類
2390,其他電子業類
2404,其他電子業類
2423,其他電子業類
2433,其他電子業類
2461,其他電子業類
2464,其他電子業類
2477,其他電子業類
2482,其他電子業類
2488,其他電子業類
2495,其他電子業類
2497,其他電子業類
3018,其他電子業類
3030,其他電子業類
3043,其他電子業類
3052,其他電子業類
3305,其他電子業類
3367,其他電子業類
3450,其他電子業類
3518,其他電子業類
3617,其他電子業類
6139,其他電子業類
6192,其他電子業類
6196,其他電子業類
6197,其他電子業類
6201,其他電子業類
6215,其他電子業類
8021,其他電子業類
8201,其他電子業類
2062,其他類
2514,其他類
2904,其他類
6184,其他類
8033,其他類
9902,其他類
9904,其他類
9905,其他類
9907,其他類
9910,其他類
9911,其他類
9914,其他類
9917,其他類
9919,其他類
9921,其他類
9924,其他類
9925,其他類
9927,其他類
9928,其他類
9929,其他類
9930,其他類
9933,其他類
9934,其他類
9935,其他類
9938,其他類
9939,其他類
9940,其他類
9941,其他類
9942,其他類
9943,其他類
9944,其他類
9945,其他類
9955,其他類
1432,全額分盤
1456,全額分盤
1715,全額分盤
1805,全額分盤
2388,全額分盤
2491,全額分盤
2540,全額分盤
3051,全額分盤
